	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	user_type	reporting_level
97	164	689.5966232461	878.9609113176	1636.0982266822	770.5394198021	156.2034064012	11.747826087	2.2782608696	1.5739130435	0.8234115283	13225	8855	1	1
98	165	690.2264025936	1443.7046453197	2065.6386957527	1392.3572510933	179.8932250112	4.8979591837	3.1020408163	1.4897959184	0.8268598511	2401	1862	1	1
99	166	339.4655934348	1511.0080812536	1976.0529428152	1463.1709263517	95.4054243827	5.152173913	3.0434782609	1.3913043478	0.8557875166	2116	1610	1	1
100	167	619.025828085	3350.9284109303	3875.2799079399	3261.1127249583	189.4017155321	2.4	2	1.8	0.723	25	25	1	1
101	168	1405.7340665686	1246.5581325175	2081.6151684127	1619.0823206771	339.3158952968	3	3	3	0.3333333333	1	1	1	1
102	176	0	190.7908032937	190.7908032937	190.7908032937	0	2	1	1	1	4	2	1	1
103	177	624.644723416	523.5920838281	3792.1467739935	253.5542024406	845.0499947335	15.9264705882	2.9411764706	2.3235294118	0.7324706493	4624	1700	1	1
104	178	265.3480204281	283.3174376751	573.4314769945	396.7314109858	44.2914170765	3.2533333333	1.52	1.3866666667	0.8627886884	5625	4050	1	1
105	179	145.2987776804	217.6716081721	605.1521886002	175.2311262786	99.7854796355	3.3841463415	1.4268292683	1.3719512195	0.8748593103	26896	18532	1	1
106	180	143.9015435988	365.6756107462	496.1343540117	398.2571894158	27.9673973932	3.7720930233	1.2930232558	1.3674418605	0.8741732596	46225	27950	1	1
107	181	315.1820181744	591.2574691181	824.0598038163	601.7700284856	66.1272388321	2.4631578947	1.2526315789	1.1894736842	0.8981475116	9025	6555	1	1
108	182	0	91.209764702	91.209764702	91.209764702	0	1.3636363636	1	1	1	121	99	1	1
