Index	HEX_600	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	user_type	reporting_level
108	177	772.71284222	624.4088437278	3959.6969970171	349.1199988778	887.1324238413	29.9	6.9285714286	2.4285714286	0.7194137988	4900	1890	3	1
109	178	552.057666161	523.0774007535	1207.3638362896	605.8805464557	150.9109072793	15.05	8.4375	1.65	0.8392472898	6400	4560	3	1
110	179	276.0298622294	323.2513360571	863.4685912012	271.1709521642	153.2325693798	6.4201183432	3.3846153846	1.4378698225	0.8673166815	28561	19942	3	1
111	180	224.4193163575	428.0631038816	672.4022834116	454.8580379766	56.936117719	7.4633027523	3.3532110092	1.4449541284	0.8668684628	47524	28558	3	1
112	181	680.888619918	864.5176437248	1604.5129326536	849.026049518	214.6458226649	33.0294117647	12.931372549	1.5294117647	0.8678157119	10404	7446	3	1
113	182	465.3463049341	427.9847918236	1048.4430994902	397.6993719313	185.6382492106	84.3333333333	23.6666666667	1.5833333333	0.9403907979	144	120	3	1
114	183	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	3	1
115	184	1442.8944530765	1543.4842422922	3307.6335803998	1438.9322851918	487.4525280888	75.7142857143	21.75	2.0892857143	0.7544685269	3136	2352	3	1
116	185	572.3948997189	777.5572256107	1322.5226561219	759.2981120707	157.4119640442	16.6049382716	5.9382716049	1.6296296296	0.8199235322	6561	4941	3	1
117	186	465.3738269852	400.833406583	956.6831263422	336.1642410265	166.1595358728	10.0630630631	5.8558558559	1.4684684685	0.8502086772	12321	9435	3	1
118	187	625.4970849424	635.9550596026	1326.1352335755	584.6063855737	180.5637709607	38.4579831933	12.9915966387	1.6428571429	0.8304504449	56644	36414	3	1
119	188	246.1083444319	269.7115080075	639.7040577207	232.1552314369	95.4562945816	15.0929824561	4.4771929825	1.8543859649	0.7733278929	324900	190950	3	1
120	189	421.8401269207	517.6518945995	1107.3640828435	411.5962226505	132.3103882185	23.7490196078	5.5529411765	1.7725490196	0.7903788399	260100	149940	3	1
121	190	461.376311153	587.0839015452	1209.013945993	512.5657064527	157.9740582513	29.1795918367	8.0693877551	1.6489795918	0.8199898458	60025	34790	3	1
122	191	2023.8860579498	1999.0402357994	4768.1543466784	1746.8306188271	743.5616232162	235.6666666667	69.1111111111	3	0.6551009614	324	252	3	1
123	192	716.3767652404	824.8780138318	1576.3173220335	813.0255737759	201.8599140142	26.8899082569	10.4495412844	1.6788990826	0.7969525025	11881	8284	3	1
124	193	2302.1350483567	2058.7660728744	5402.2905979305	1881.4185644429	889.2035486467	206.4	60.2	3.2	0.4974707949	25	20	3	1
125	194	1709.7322305468	1422.1514159807	3519.3325602468	978.8472285077	466.8471948831	7.625	4.75	1.75	0.8556206871	64	56	3	1
126	195	2577.1814313853	2655.0239116822	6525.9108479987	2406.9271503751	1024.5285951183	204.3333333333	77	3.5333333333	0.7069397909	225	165	3	1
127	202	679.275430916	926.1467165565	1127.5357772857	1127.5357772857	212.3150442134	3	1.5714285714	1.2857142857	0.8214285714	49	49	3	1
128	203	506.2441167862	836.2895595155	1599.5184113221	778.5817099786	207.0241953534	16.2153846154	9.4461538462	1.8461538462	0.8247009065	4225	3120	3	1
129	204	882.2943349391	1363.0020065469	2557.0026251788	1203.8120646974	315.2817033579	52.4720812183	15.0203045685	2.2284263959	0.7557502138	38809	22261	3	1
130	205	300.3694652383	765.8058529131	1132.0953561543	718.2414197055	90.6705917801	41.48	12.04	1.28	0.971387583	625	525	3	1
131	206	3086.3377578092	2046.9721241258	4275.9597992186	2265.314039459	361.5885015775	6	4.5	2.5	0.52	4	4	3	1
132	207	2242.2153066111	1696.0849808011	4637.5075000851	1377.7692753399	662.139175249	90.2280701754	30.3157894737	2.7368421053	0.619123498	3249	2337	3	1
133	208	2027.3631683538	1694.1596548362	4061.2577306368	1492.134352406	602.1267186261	151.3863636364	45.8409090909	2.8863636364	0.6461870019	1936	1276	3	1
134	209	837.9240827489	1233.4496876954	2142.5838801612	1140.7373515077	255.0204459612	29.3090909091	11.6545454545	1.8181818182	0.8256089076	3025	2365	3	1
